Model,Impl,Split,MAE,RMSE,MAPE,OPE,R2
MLP_h20_mi500,ml,val,4.270972865010594,5.432608885977155,1042163954.1684026,0.0034068351593741896,0.7406500958714545
MLP_h20_mi1000,ml,val,4.270972865010594,5.432608885977155,1042163954.1684026,0.0034068351593741896,0.7406500958714545
MLP_h20_mi1500,ml,val,4.270972865010594,5.432608885977155,1042163954.1684026,0.0034068351593741896,0.7406500958714545
MLP_h20_mi500,ml,test,3.98451035347153,5.030305794526421,6453597286.477946,0.0743206804831121,0.7595846060333109
MLP_h20_mi1000,ml,test,3.98451035347153,5.030305794526421,6453597286.477946,0.0743206804831121,0.7595846060333109
MLP_h20_mi1500,ml,test,3.98451035347153,5.030305794526421,6453597286.477946,0.0743206804831121,0.7595846060333109
